Timestamp,Which Region do you belong to?,How old are you? (years completed),What is your gender?,What is your height? (in cm),What is your weight? (in Kg),How many times do you eat in a day ?,How many days in a week do you eat fruits?,How many days in a week do you eat meat?,How many days in a week do you eat dairy products?,How many days in a week do you eat sweets?,How many days in a week do you eat fast food?,How many days in a week do you skip breakfast?,How many days in a week do you consume alcoholic beverages?,Most frequent source of your main meal ?,What is your gender?
12/20/2020 12:05:15,Asia,28,,170,68,3,6,0,5,1,2,3,2,Home cooked,Male
12/20/2020 14:50:45,Asia,23,,175,95,3,3,7,3,2,2,4,0,Home cooked,Male
12/20/2020 14:58:06,Europe,21,,169,59,2,7,4,2,6,0,2,0,Home cooked,Female
12/20/2020 15:00:49,Asia,26,,158,60,2,2,1,7,3,0,4,2,Home cooked,Female
12/20/2020 15:28:32,Asia,26,,146,54,3,7,0,7,4,1,0,0,Home cooked,Female
12/20/2020 15:38:28,Other,22,,176,58,3,7,1,7,1,1,0,0,Home cooked,Female
12/20/2020 16:21:43,Asia,27,,166,57,2,4,1,7,6,1,3,0,Home cooked,Female
12/20/2020 17:22:57,Europe,30,,172,65,2,3,1,4,6,2,2,6,Home cooked,Male
12/20/2020 17:48:55,Asia,24,,172,45,3,3,2,1,7,0,2,0,Home cooked,Male
12/20/2020 17:50:05,Asia,24,,172,45,3,3,2,1,7,0,2,0,Home cooked,Male
12/20/2020 17:54:25,Europe,24,,157,44,2,5,4,7,1,2,5,0,Home cooked,Female
12/20/2020 18:13:36,Other,19,,168,59,3,6,4,5,5,2,3,1,Pre-cooked/microwave,Female
12/20/2020 18:47:55,Asia,27,,175,76,3,4,0,6,7,2,0,0,Home cooked,Male
12/20/2020 18:48:43,Asia,27,,181,83,4,7,6,7,7,2,0,0,Home cooked,Male
12/20/2020 23:33:11,Asia,28,,178,74,3,2,4,3,2,2,4,0,Home cooked,Male
12/21/2020 0:27:13,Europe,25,,164,55,3,4,1,7,1,1,5,1,Home cooked,Male
12/21/2020 0:43:21,Europe,34,,183,85,3,2,4,3,2,2,4,4,Home cooked,Male
12/21/2020 5:03:04,Asia,23,,150,60,3,5,1,6,4,1,0,0,Home cooked,Female
12/21/2020 10:06:33,Other,23,,178,67,4,5,5,6,6,1,0,1,Home cooked,Male
12/21/2020 10:19:27,Asia,25,,162,58,3,5,2,3,2,3,1,1,Home cooked,Male
12/21/2020 12:33:35,Asia,26,,160,70,3,3,4,5,2,1,0,0,Home cooked,Male
12/21/2020 13:15:33,Asia,26,,174,63,4,7,0,7,4,1,1,0,Home cooked,Male
12/21/2020 17:03:47,Asia,25,,165,45,2,3,4,7,1,2,0,0,Home cooked,Male
12/21/2020 17:55:08,Europe,22,,170,55,2,7,0,0,7,1,5,0,Home cooked,Female
12/21/2020 18:04:52,Europe,28,,190,80,2,7,7,0,7,0,5,0,Home cooked,Male
12/21/2020 18:04:56,Europe,28,,190,80,2,7,7,0,7,0,5,0,Home cooked,Male
12/21/2020 18:06:27,Europe,18,,170,52,5,2,2,7,7,1,7,2,Home cooked,Female
12/21/2020 18:07:14,Europe,23,,170,60,3,1,4,5,3,1,0,2,Home cooked,Male
12/21/2020 18:10:57,Europe,23,,183,73,3,7,1,7,3,2,1,2,Canteen,Male
12/21/2020 18:14:35,Europe,22,,172,64,2,2,6,4,7,0,3,6,Home cooked,Male
12/21/2020 19:30:58,Europe,23,,183,73,3,7,1,7,3,2,1,2,Canteen,Male
12/21/2020 22:44:25,Asia,25,,180,90,4,3,3,3,4,1,2,1,Home cooked,Male
12/22/2020 18:47:58,Asia,28,,173,79,2,2,4,5,1,1,2,0,Home cooked,Male
12/22/2020 21:39:37,Asia,29,,180,70,3,3,0,7,1,1,2,0,Home cooked,Male
12/22/2020 23:37:04,Europe,20,,171,57,4,4,4,5,7,1,2,0,Home cooked,Female
12/23/2020 15:10:34,Asia,31,,155,72,2,2,0,7,1,4,4,0,Home cooked,Male
12/25/2020 13:55:57,Asia,28,,163,60,4,2,1,3,2,4,2,1,Home cooked,Male
12/26/2020 17:29:38,Asia,28,,178,78,2,1,0,3,3,1,5,0,Home cooked,Male
12/27/2020 8:19:37,Asia,27,,181,83,4,7,6,7,7,2,0,0,Home cooked,Male
12/27/2020 15:44:26,Asia,28,,153,58,3,5,2,7,0,0,1,0,Home cooked,Female
12/29/2020 1:28:14,Europe,23,,193,85,3,3,1,5,4,3,2,4,Home cooked,Male
12/29/2020 21:35:24,Asia,27,,178,80,3,5,1,5,4,1,5,0,Home cooked,Male
